ID,CN_Key,CN_Code,Name
8318,580600000080,5806,"Narrow woven fabrics, other than goods of hea"
8328,580700000080,5807,"Labels, badges and similar articles of textil"
8335,580800000080,5808,Braids in the piece; ornamental trimmings in
8339,581000000080,5810,"Embroidery in the piece, in strips or in moti"
8355,590100000080,5901,Textile fabrics coated with gum or amylaceous
8358,590200000080,5902,Tyre cord fabric of high-tenacity yarn of nyl
8368,590300000080,5903,"Textile fabrics impregnated, coated, covered"
8380,590400000080,5904,"Linoleum, whether or not cut to shape; floor"
8390,590600000080,5906,"Rubberised textile fabrics, other than those"
8403,591100000080,5911,"Textile products and articles, for technical"
8424,600100000080,6001,"Pile fabrics, including ‘long pile’ fabrics a"
8434,600200000080,6002,Knitted or crocheted fabrics of a width not e
8437,600300000080,6003,Knitted or crocheted fabrics of a width not e
8445,600400000080,6004,Knitted or crocheted fabrics of a width excee
8448,600500000080,6005,Warp knit fabrics (including those made on ga
8468,600600000080,6006,Other knitted or crocheted fabrics
8487,610100000080,6101,"Men's or boys' overcoats, car coats, capes, c"
8497,610200000080,6102,"Women's or girls' overcoats, car coats, capes"
8510,610300000080,6103,"Men's or boys' suits, ensembles, jackets, bla"
8528,610400000080,6104,"Suits, ensembles, jackets, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (not swimwear), women's or girls', k"
8561,610500000080,6105,"Men's or boys' shirts, knitted or crocheted"
8569,610600000080,6106,"Women's or girls' blouses, shirts and shirt-b"
8577,610700000080,6107,"Men's or boys' underpants, briefs, nightshirt"
8589,610800000080,6108,"Women's or girls' slips, petticoats, briefs,"
8605,610900000080,6109,"T-shirts, singlets and other vests, knitted o"
8610,611000000080,6110,"Jerseys, pullovers, cardigans, waistcoats and"
8636,611100000080,6111,"Babies' garments and clothing accessories, kn"
8648,611200000080,6112,"Tracksuits, ski suits and swimwear, knitted o"
8671,611400000080,6114,"Other garments, knitted or crocheted"
8675,611500000080,6115,"Pantyhose, tights, stockings, socks and other"
8697,611600000080,6116,"Gloves, mittens and mitts, knitted or crochet"
8706,611700000080,6117,"Other made-up clothing accessories, knitted o"
8713,620100000080,6201,"Men's or boys' overcoats, car coats, capes, c"
8728,620200000080,6202,"Women's or girls' overcoats, car coats, capes"
8743,620300000080,6203,"Men's or boys' suits, ensembles, jackets, bla"
8811,620400000080,6204,"Suits, ensembles, jackets, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear); women's or gi"
8893,620500000080,6205,Men's or boys' shirts
8899,620600000080,6206,"Women's or girls' blouses, shirts and shirt-b"
8907,620700000080,6207,"Men's or boys' singlets and other vests, unde"
8920,620800000080,6208,"Women's or girls' singlets and other vests, s"
8932,620900000080,6209,Babies' garments and clothing accessories
8938,621000000080,6210,"Garments, made up of fabrics of heading 5602,"
8948,621100000080,6211,"Tracksuits, ski suits and swimwear; other gar"
8989,621200000080,6212,"Brassières, girdles, corsets, braces, suspend"
8996,621300000080,6213,Handkerchiefs
8999,621400000080,6214,"Shawls, scarves, mufflers, mantillas, veils a"
9005,621500000080,6215,"Ties, bow ties and cravats"
9010,621700000080,6217,Other made-up clothing accessories; parts of
9015,630100000080,6301,Blankets and travelling rugs
9029,630200000080,6302,"Bedlinen, table linen, toilet linen and kitch"
9065,630300000080,6303,Curtains (including drapes) and interior blin
9077,630400000080,6304,"Other furnishing articles, excluding those of"
